time;total_energy_consumption;power;emotor_efficiency;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
0;0;3024046,838;0,97107736;33333,00988;0;0,850656552;;0;0,850656552;72,83026724
20,17981588;529534,1;3001470,332;0,97107736;33094,32008;116,113646;0,850652806;318,7999676;14,85331782;0,850652806;73,54051535
60,53944764;1059379,1;2957024,389;0,97107736;32624,05118;344,7191839;0,850645156;212,595703;44,20369745;0,850645156;74,86465068
80,71926352;529835,8;2935157,055;0,97107736;32392,50459;457,2;0,850641378;79,74540067;58,70375902;0,850641378;75,48184444
80,71926352;0;2943564,715;0,97107736;31343,33453;457,2;0,856249443;0;58,70375902;0,856249443;75,48759383
102,5240303;572604;2904537,121;0,97107736;30945,9583;653,1726155;0,85625505;67,22765055;74,22335875;0,85625505;76,12289166
146,133564;1145507,7;2827435,998;0,97107736;30160,39408;1034,223976;0,856273061;93,40423602;104,6264549;0,856273061;77,30320633
167,9383308;572894,6;2788713,636;0,97107736;29765,90048;1219,2;0,856290235;40,52369025;119,5159467;0,856290235;77,85158223
167,9383308;0;2795732,645;0,97107736;28956,69134;1219,2;0,86035793;0;119,5159467;0,86035793;77,8566234
197,0988424;766296,3;2746416,856;0,97107736;28469,6666;1456,349246;0,860377818;45,79680016;139,1330612;0,860377818;78,54958428
255,4198657;1533024,1;2657989,053;0,97107736;27592,95103;1913,460454;0,86039182;69,92754701;177,4108751;0,86039182;79,81084322
284,5803774;766711,5;2615574,225;0,97107736;27171,71656;2133,6;0,86039852;31,27100383;196,0898401;0,86039852;80,38528938
284,5803774;0;2623154,413;0,97107736;26329,67582;2133,6;0,864344096;0;196,0898401;0,864344096;80,39031585
306,3250094;571808,1;2593079,51;0,97107736;26041,64172;2290,173699;0,86434832;21,55176818;209,8480967;0,86434832;80,79627739
349,8142734;1143808,1;2534390,135;0,97107736;25478,97571;2595,058894;0,864356352;37,42956465;236,9024675;0,864356352;81,55616258
371,5589054;571994,6;2504243,709;0,97107736;25190,17905;2743,2;0,864364945;17,56065985;250,2005841;0,864364945;81,91202593
371,5589054;0;2509801,246;0,97107736;24573,60899;2743,2;0,866941058;0;250,2005841;0,866941058;81,91503788
395,7384666;636113,3;2477451,318;0,97107736;24272,39773;2900,700381;0,866944386;18,23657294;264,8332484;0,866944386;82,29315221
444,097589;1272424,6;2415031,45;0,97107736;23690,54603;3205,381159;0,86694995;32,21445673;293,5659062;0,86694995;82,99884199
468,2771502;636305,9;2385812,161;0,97107736;23417,62411;3352,8;0,866951355;15,2199914;307,680907;0,866951355;83,32849757
468,2771502;0;2391031,093;0,97107736;22832,28153;3352,8;0,869098189;0;307,680907;0,869098189;83,33109689
495,4724529;715738,3;2362040,626;0,97107736;22568,68101;3510,291819;0,869094004;16,08942262;323,3936424;0,869094004;83,68477613
549,8630583;1431684,9;2305683,329;0,97107736;22055,64945;3815,068914;0,869081829;28,72528937;354,2885147;0,869081829;84,34325746
577,058361;715940,5;2278249,868;0,97107736;21805,65636;3962,4;0,869074036;13,63219712;369,4765713;0,869074036;84,65029525
577,058361;0;2283931,404;0,97107736;21247,43229;3962,4;0,870825375;0;369,4765713;0,870825375;84,65248374
608,0975062;817208,7;2254602,077;0,97107736;20988,04246;4120,734549;0,870809597;14,6789859;386,6339036;0,870809597;84,9863618
670,1757966;1634641,5;2197382,012;0,97107736;20481,47465;4425,492152;0,87077005;26,3739739;420,3299512;0,87077005;85,60698816
701,2149418;817426,2;2169717,854;0,97107736;20236,28255;4572;0,870747323;12,55010756;436,8783678;0,870747323;85,89614944
701,2149418;0;2175382,131;0,97107736;19712,82285;4572;0,872052486;0;436,8783678;0,872052486;85,89793651
737,6419697;959402,6;2144461,355;0,97107736;19447,07707;4731,81643;0,87200884;13,91403444;456,0867007;0,87200884;86,22104835
810,4960256;1919059,4;2084291,877;0,97107736;18929,45147;5036,511622;0,871904801;25,05612018;493,7689155;0,871904801;86,8211121
846,9230536;959649,4;2055660,615;0,97107736;18682,80733;5181,6;0,87184894;11,93451392;512,258912;0,87184894;87,10074945
846,9230536;0;1664410,158;0,97107736;12900,02799;5181,6;0,854269992;0;512,258912;0,854269992;87,10215908
1309,898931;12203158,9;1661488,864;0,97107736;12878,18518;5181,6;0,854079826;88,24862397;707,7909735;0,854079826;89,88605873
2235,850686;24427668,9;1655690,673;0,97107736;12834,82175;5181,6;0,853698709;96,16225312;1098,061186;0,853698709;93,61854004
2698,826564;12222666,5;1652813,278;0,97107736;12813,29751;5181,6;0,853507747;39,18808351;1292,807231;0,853507747;95,08798382
2698,826564;0;112303,7529;0;-10,22632558;5181,6;0,059579528;0;1292,807231;0,059579528;0,02447497
2722,053882;12066,9;114893,381;0;-17,65301544;5028,814492;0,065804375;0,038388934;1296,6893;0,065804375;0,024475296
2768,508517;24133,9;125924,8078;0;-25,75148424;4724,03308;0,118992139;0,075606686;1304,579629;0,118992139;0,024475948
2791,735835;12066,9;131693,78;0;9,02333999;4572;0,143609544;0,037516965;1308,584492;0,143609544;0,024476274
2791,735835;0;130593,1182;0;54,42010467;4572;0,173613483;0;1308,584492;0,173613483;0,024476274
2816,088878;12651,8;136379,0182;0;90,68375618;4419,586378;0,19530247;0,039035172;1312,818833;0,19530247;0,024476615
2864,794964;25303,5;143256,1784;0;117,173311;4114,866874;0,208673476;0,07689596;1321,436834;0,208673476;0,024477299
2889,148008;12651,8;146258,2673;0;125,7905222;3962,4;0,212356714;0,038161184;1325,823727;0,212356714;0,02447764
2889,148008;0;145121,8843;0;172,9825734;3962,4;0,23789098;0;1325,823727;0,23789098;0,02447764
2914,6348;13240,7;150813,8564;0;208,7687586;3809,567022;0,254173738;0,039637428;1330,464641;0,254173738;0,024477998
2965,608384;26481,6;161932,3489;0;276,968693;3504,806293;0,281786804;0,078101958;1339,869517;0,281786804;0,024478712
2991,095176;13240,7;167471,7346;0;310,4899235;3352,8;0,293944372;0,038763778;1344,632397;0,293944372;0,02447907
2991,095176;0;166438,5356;0;361,0827491;3352,8;0,314819158;0;1344,632397;0,314819158;0,02447907
3017,810035;13878,8;171405,4303;0;389,9039752;3200,579752;0,32346389;0,040330718;1349,656066;0,32346389;0,024479444
3071,239752;27757,5;177770,5995;0;410,1788358;2895,601543;0,326147925;0,079482844;1359,900825;0,326147925;0,024480193
3097,95461;13878,8;183234,3332;0;443,1419074;2743,2;0,335269437;0,039453396;1365,100275;0,335269437;0,024480567
3097,95461;0;182172,6655;0;494,6929673;2743,2;0,35263598;0;1365,100275;0,35263598;0,024480567
3125,957309;14547,8;187653,3309;0;528,8487223;2590,390207;0,360814166;0,041052559;1370,597379;0,360814166;0,024480959
3181,962707;29095,6;198249,9642;0;592,5203573;2285,633787;0,374394162;0,080920865;1381,715851;0,374394162;0,024481744
3209,965406;14547,8;203484,301;0;623,2624704;2133,6;0,380303022;0,040170729;1387,336802;0,380303022;0,024482136
3209,965406;0;202146,5318;0;693,1861597;2133,6;0,398407772;0;1387,336802;0,398407772;0,024482136
3254,599285;23188;207102,0994;0;709,425213;1904,033617;0,398136951;0,063334144;1396,434734;0,398136951;0,024482761
3343,867044;46375,9;222705,5806;0;801,862127;1446,996315;0,411538581;0,123977734;1414,942353;0,411538581;0,02448401
3388,500924;23188;230241,9965;0;844,1753401;1219,2;0,416586595;0,061337631;1424,342189;0,416586595;0,024484634
3388,500924;0;229169,3387;0;911,4989538;1219,2;0,429386227;0;1424,342189;0,429386227;0,024484634
3427,916999;20477,2;235013,7266;0;942,7300402;1028,326176;0,431900456;0,053686039;1432,731954;0,431900456;0,024485186
3506,749149;40954,4;246721,4532;0;1003,864883;647,3521964;0,436152043;0,105498823;1449,737924;0,436152043;0,024486288
3546,165223;20477,3;252902,7705;0;1037,318019;457,2;0,438581051;0,052293503;1458,354143;0,438581051;0,024486839
3546,165223;0;594654,9102;0;7207,378627;457,2;0,739884992;0;1458,354143;0,739884992;0,024486839
3583,1467;19212,4;594576,1993;0;7184,779253;342,9;0,738070437;0,048791168;1468,966766;0,738070437;0,024487355
3657,109654;38424,8;594920,519;0;7146,166016;114,3;0,734483835;0,096511764;1490,346986;0,734483835;0,024488389
3694,091131;19212,5;595340,0341;0;7130,106925;0;0,73271466;0,047992869;1501,132414;0,73271466;0,024488905
3694,091131;0;3024046,838;0,97107736;33333,00988;0;0,850656552;0;1501,132414;0,850656552;95,14602267
3705,791792;308969,4;3001485,652;0,97107736;33094,48209;116,0348541;0,850652809;0,769953911;1509,744685;0,850652809;95,18049749
3729,193113;617948;2957041,852;0,97107736;32624,23605;344,6293557;0,850645159;1,532574275;1526,762747;0,850645159;95,24910757
3740,893773;308978,4;2935157,055;0,97107736;32392,50459;457,2;0,850641378;0,764472053;1535,170203;0,850641378;95,28324373
3740,893773;0;2943564,715;0,97107736;31343,33453;457,2;0,856249443;0;1535,170203;0,856249443;95,28324556
3761,902892;554793,86;2904560,923;0,97107736;30946,2007;653,0539003;0,856255046;1,366564071;1550,123567;0,856255046;95,3442578
3803,921131;1109616,44;2827460,489;0,97107736;30160,64356;1034,106081;0,856273052;2,709109941;1579,417574;0,856273052;95,46520905
3824,93025;554822,5;2788713,636;0,97107736;29765,90048;1219,2;0,856290235;1,348646711;1593,763824;0,856290235;95,52515296
3824,93025;0;2795732,645;0,97107736;28956,69134;1219,2;0,86035793;0;1593,763824;0,86035793;95,5251553
3852,971353;740542,43;2746457,807;0,97107736;28470,07219;1456,137572;0,860377812;1,789235384;1612,628042;0,860377812;95,60461589
3909,053559;1481134,84;2658029,144;0,97107736;27593,34892;1913,253192;0,860391813;3,535949944;1649,437124;0,860391813;95,76168187
3937,094662;740592,16;2615574,225;0,97107736;27171,71656;2133,6;0,86039852;1,7575627;1667,399195;0,86039852;95,83929805
3937,094662;0;2623154,413;0,97107736;26329,67582;2133,6;0,864344096;0;1667,399195;0,864344096;95,83929975
3957,958855;551053,72;2593101,858;0,97107736;26041,85583;2290,057346;0,864348316;1,301784043;1680,600441;0,864348316;95,89665811
3999,68724;1102134,35;2534413,094;0,97107736;25479,1958;2594,94262;0,864356348;2,580080039;1706,55966;0,864356348;96,0103799
4020,551432;551080,51;2504243,709;0,97107736;25190,17905;2743,2;0,864364945;1,284262722;1719,319399;0,864364945;96,06674749
4020,551432;0;2509801,246;0,97107736;24573,60899;2743,2;0,866941058;0;1719,319399;0,866941058;96,06674804
4043,697569;611363,23;2477482,46;0,97107736;24272,68779;2900,548758;0,866944383;1,417447971;1733,326767;0,866944383;96,12889892
4089,989842;1222758,76;2415061,574;0,97107736;23690,82704;3205,233937;0,866949948;2,806213177;1760,831796;0,866949948;96,2520075
4113,135978;611395,39;2385812,161;0,97107736;23417,62411;3352,8;0,866951355;1,396062574;1774,343615;0,866951355;96,31297056
4113,135978;0;1196842,441;0,97107736;12064,3926;3352,8;0,815219956;0;1774,343615;0,815219956;96,31297034
4343,546896;6086774,41;1195581,555;0,97107736;12052,17208;3352,8;0,815019592;13,22559164;1856,860013;0,815019592;96,89893862
4804,368731;12176436,95;1193067,905;0,97107736;12027,80675;3352,8;0,814617808;24,12151752;2021,739572;0,814617808;97,96325076
5034,779649;6089542,74;1191815,131;0,97107736;12015,66186;3352,8;0,814416388;11,55335654;2104,102893;0,814416388;98,44359065
5034,779649;0;166438,5356;0;361,0827491;3352,8;0,314819158;0;2104,102893;0,314819158;0,025288163
5061,452106;13856,89;171404,83;0;389,9044844;3200,625667;0,323464787;0,026163505;2109,11857;0,323464787;0,025288426
5114,797021;27713,79;177769,0557;0;410,169479;2895,644606;0,326145248;0,051828593;2119,347033;0,326145248;0,025288949
5141,469478;13856,9;183234,3332;0;443,1419074;2743,2;0,335269437;0,025791469;2124,538224;0,335269437;0,025289211
5141,469478;0;182172,6655;0;494,6929673;2743,2;0,35263598;0;2124,538224;0,35263598;0,025289211
5169,432856;14527,55;187651,946;0;528,8401314;2590,428819;0,360812177;0,026910036;2130,027603;0,360812177;0,025289486
5225,359613;29055,12;198248,6254;0;592,512399;2285,672331;0,374392572;0,05330872;2141,130437;0,374392572;0,025290035
5253,322991;14527,55;203484,301;0;623,2624704;2133,6;0,380303022;0,026528308;2146,74349;0,380303022;0,02529031
5253,322991;0;202146,5318;0;693,1861597;2133,6;0,398407772;0;2146,74349;0,398407772;0,02529031
5297,907191;23162,42;207099,1322;0;709,4073485;1904,120536;0,398134105;0,041991914;2155,831273;0,398134105;0,025290747
5387,075591;46324,84;222702,6086;0;801,8448096;1447,08336;0,411536306;0,082792671;2174,318199;0,411536306;0,025291622
5431,659791;23162,41;230241,9965;0;844,1753401;1219,2;0,416586595;0,041104819;2183,707551;0,416586595;0,025292059
5431,659791;0;229169,3387;0;911,4989538;1219,2;0,429386227;0;2183,707551;0,429386227;0,025292059
5471,03703;20457,3;235012,9663;0;942,7330661;1028,389905;0,431902362;0,036087583;2192,088997;0,431902362;0,025292445
5549,79151;40914,59;246719,4255;0;1003,853911;647,4150851;0,436151227;0,071323863;2209,078136;0,436151227;0,025293217
5589,16875;20457,29;252902,7705;0;1037,318019;457,2;0,438581051;0,035452845;2217,685853;0,438581051;0,025293603
5589,16875;0;584693,1516;0;7112,642133;457,2;0,737719203;0;2217,685853;0,737719203;0,025293603
5626,402315;19343,61;584632,2875;0;7090,337744;342,9;0,735892154;0,033396417;2228,329958;0,735892154;0,025293968
5700,869446;38687,23;585003,5816;0;7052,231048;114,3;0,732281434;0,066292926;2249,76363;0,732281434;0,025294698
5738,103011;19343,61;585432,2057;0;7036,382691;0;0,730500608;0,033022871;2260,580063;0,730500608;0,025295062
5738,103011;0;1732753,728;0,97107736;14480,89629;457,2;0,825779712;0;2260,580063;0,825779712;98,47102527
6188,103011;11894004,7;1730608,131;0,97107736;14462,97605;457,2;0,825583056;18,68087995;2481,307488;0,825583056;99,29113388
7088,103011;23797617,63;1726350,043;0,97107736;14427,40778;457,2;0,825190479;32,22190488;2922,230306;0,825190479;99,83315342
7538,103011;11896758,13;1724238,075;0,97107736;14409,76415;457,2;0,824994623;15,06902953;3142,427369;0,824994623;98,58610385
